nombre,categoria,subcategoria,precio_neto,precio_final_iva_incl,costo,sugerencia_servicio_10,es_menu_cliente
DIRTY MARTINI TITOS,BEBIDAS,COCTELES CLASICOS,6371.68,7200,1189,SI,SI
CALAVERA NEGRA M,TSHIRTS,M,12389.38,14000,5000,NO,NO
MANITO GRIS S,TSHIRTS,S,12389.38,14000,5000,NO,NO
MIYAGHI LILA S,TSHIRTS,S,12389.38,14000,5000,NO,NO
HAPPY SUSHI S,TSHIRTS,S,12389.38,14000,5000,NO,NO
CALAVERA NEGRA S,TSHIRTS,S,12389.38,14000,5000,NO,NO
HAPPY SUSHI M,TSHIRTS,M,12389.38,14000,5000,NO,NO
MANITO ROSA M,TSHIRTS,M,12389.38,14000,5000,NO,NO
MANITO GRIS M,TSHIRTS,M,12389.38,14000,5000,NO,NO
MANITO ROSA L,TSHIRTS,L,12389.38,14000,5000,NO,NO
MIYAGHI LILA L,TSHIRTS,L,12389.38,14000,5000,NO,NO
HAPPY SUSHI L,TSHIRTS,L,12389.38,14000,5000,NO,NO
CALAVERA NEGRA L,TSHIRTS,L,12389.38,14000,5000,NO,NO
GIN TONIC HENDRICKS,BEBIDAS,COCTELES CLASICOS,6548.67,7400,3320,SI,SI
LOGO CREMITA S,TSHIRTS,S,12389.38,14000,5000,NO,NO
DARUMA BEIGE S,TSHIRTS,S,12389.38,14000,5000,NO,NO
DARUMA GRIS S,TSHIRTS,S,12389.38,14000,5000,NO,NO
DARUMA BEIGE M,TSHIRTS,M,12389.38,14000,5000,NO,NO
LOGO CREMITA M,TSHIRTS,M,12389.38,14000,5000,NO,NO
LOGO GRIS M,TSHIRTS,M,12389.38,14000,5000,NO,NO
DARUMA GRIS M,TSHIRTS,M,12389.38,14000,5000,NO,NO
LOGO CREMITA L,TSHIRTS,L,12389.38,14000,5000,NO,NO
LOGO GRIS L,TSHIRTS,L,12389.38,14000,5000,NO,NO
MIYAGHI LILA M,TSHIRTS,M,12389.38,14000,5000,NO,NO
CALAVERA NEGRA XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
JAGGER ROCKS,BEBIDAS,ON THE ROCKS,5752.21,6500,0,SI,SI
CALAVERA GRIS,T-GORRAS,CALAVERA,10619.47,12000,8000,NO,NO
CALAVERA VERDE,T-GORRAS,CALAVERA,10619.47,12000,8000,NO,NO
DARUMA GRIS,T-GORRAS,DARUMA,10619.47,12000,8000,NO,NO
DARUMA VERDE,T-GORRAS,DARUMA,10619.47,12000,8000,NO,NO
DARUMA AZUL,T-GORRAS,DARUMA,10619.47,12000,8000,NO,NO
LOGO VERDE,T-GORRAS,LOGO,10619.47,12000,8000,NO,NO
LOGO AZUL,T-GORRAS,LOGO,10619.47,12000,8000,NO,NO
SEÑOR MIYAGHI BW S,TSHIRTS,S,12389.38,14000,5000,NO,NO
CALAVERA CLARA M,TSHIRTS,M,12389.38,14000,5000,NO,NO
SUSHI FELIZ NEGRO Y ROJO L,TSHIRTS,L,12389.38,14000,5000,NO,NO
SEÑOR MIYAGHI BW XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
DARUMA BEIGE L,TSHIRTS,L,12389.38,14000,5000,NO,NO
DARUMA GRIS L,TSHIRTS,L,12389.38,14000,5000,NO,NO
DARUMA BEIGE XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
DARUMA GRIS XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
HAPPY SUSHI XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
LOGO CREMITA XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
LOGO GRIS XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
MANITO GRIS XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
MANITO ROSA XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
MIYAGHI LILA XL,TSHIRTS,XL,12389.38,14000,5000,NO,NO
PALOMA,BEBIDAS,COCTELES CLASICOS,5309.73,6000,950,SI,SI
PALOMA PATRON,BEBIDAS,COCTELES CLASICOS,5929.2,6700,1300,SI,SI
TINTO DE SATORI,BEBIDAS,COCTELES CLASICOS,3982.3,4500,0,SI,SI
COINTREAU,BEBIDAS,SHOTS,3097.35,3500,0,SI,SI
EXTRA QUESO CREMA,TAPAS ASIATICAS,TAPAS ASIATICAS,619.47,700,0,SI,SI
TANOSHI ROLL,SUSHI ROLLS,ROLLS,7699.12,8700,1692,SI,SI
SUSHI CLASSIC,SUSHI ROLLS,COMBOS,24070.8,27200,6916,SI,SI
ALL TUNA,SUSHI ROLLS,COMBOS,29557.52,33400,4027,SI,SI
SATORI MIX,SUSHI ROLLS,COMBOS,28761.06,32500,6675,SI,SI
SATORI SPECIALS,SUSHI ROLLS,COMBOS,32212.39,36400,7181,SI,SI
JABALI SHOT X 2,BEBIDAS,MEZCALES,10000.0,11300,8926,SI,SI
TOBALA JARRA 300,BEBIDAS,MEZCALES,38318.58,43300,22844,SI,SI
TOBALA JARRA 150,BEBIDAS,MEZCALES,20619.47,23300,11422,SI,SI
TOBALA SHOT X 2,BEBIDAS,MEZCALES,8230.09,9300,6853,SI,SI
COYOTE BOTELLA,BEBIDAS,MEZCALES,78761.06,89000,50000,SI,SI
CARPACCION DORADO,TAPAS ASIATICAS,PESCA LOCAL,6548.67,7400,2234,SI,SI
AGUA SAN BENEDETTO,BEBIDAS,BEBIDAS SIN ALCOHOL,3451.33,3900,1575,SI,SI
PAX,A PAX,COMENSALES,0.0,0,0,SI,NO
PREMIUM AÑO NUEVO,MENU AÑO NUEVO,COCTELES AN,0.0,0,0,SI,NO
